,Cities,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max temp (F),Wind Speed (mph)
76,pali,44,IN,2018-04-03,49,25.77,73.33,76.97,2.93
77,sao sebastiao,20,BR,2018-04-03,83,-3.15,-58.36,84.2,5.82
78,avera,75,US,2018-04-03,44,33.19,-82.53,82.4,14.99
79,liwale,68,TZ,2018-04-03,89,-9.8,37.92,72.65,4.72
80,kemin,0,KG,2018-04-03,70,42.79,75.7,17.57,1.92
81,ryotsu,36,JP,2018-04-03,100,38.08,138.43,49.07,1.14
82,takoradi,0,GH,2018-04-03,93,4.89,-1.75,83.54,9.86
83,luanda,75,AO,2018-04-03,74,-8.83,13.24,84.2,9.17
84,yulara,0,AU,2018-04-03,28,-25.24,130.99,68,8.05
85,cidreira,100,BR,2018-04-03,95,-30.17,-50.22,72.47,5.39
86,iqaluit,90,CA,2018-04-03,85,63.75,-68.52,14,28.86
87,araouane,0,ML,2018-04-03,10,18.9,-3.53,97.31,3.04
88,carnarvon,88,ZA,2018-04-03,54,-30.97,22.13,68.87,5.84
89,tasiilaq,90,GL,2018-04-03,67,65.61,-37.64,23,14.99
90,grand river south east,NA,NA,2018-04-03,NA,NA,NA,NA,NA
91,port alfred,44,ZA,2018-04-03,95,-33.59,26.89,70.13,3.04
92,leningradskiy,44,RU,2018-04-03,89,69.38,178.42,15.32,20.49
93,palabuhanratu,NA,NA,2018-04-03,NA,NA,NA,NA,NA
94,kokopo,44,PG,2018-04-03,100,-4.34,152.27,81.29,8.63
95,mokhsogollokh,0,RU,2018-04-03,55,61.4,128.95,3.35,6.85
96,vila,75,IT,2018-04-03,81,45.18,8.4,51.8,5.82
97,carauari,92,BR,2018-04-03,83,-4.88,-66.9,82.73,3.94
98,chuy,56,UY,2018-04-03,93,-33.69,-53.46,71.66,7.63
99,husavik,0,CA,2018-04-03,100,50.56,-96.99,17.12,4.72
100,chernyshevskiy,68,RU,2018-04-03,70,63.01,112.47,8.75,3.83
101,jamestown,0,AU,2018-04-03,84,-33.21,138.6,46.73,5.95
102,cruzeiro,40,BR,2018-04-03,55,-22.58,-44.96,87.8,5.82
103,slubice,0,CZ,2018-04-03,42,48.73,14.32,66.2,8.05
104,sterling,90,US,2018-04-03,81,39,-77.4,51.8,8.05
105,san andres,20,PH,2018-04-03,100,13.32,122.68,79.85,9.42
106,hami,92,CN,2018-04-03,60,42.84,93.51,49.61,7.63
107,torbay,40,CA,2018-04-03,43,47.66,-52.73,33.8,14.99
108,somotillo,40,NI,2018-04-03,41,13.04,-86.91,91.4,4.7
109,lagoa,20,PT,2018-04-03,77,37.14,-8.45,62.6,17.22
110,vardo,90,US,2018-04-03,76,39.62,-77.74,51.8,13.87
111,upernavik,80,GL,2018-04-03,100,72.79,-56.15,18.65,9.42
112,lakes entrance,0,AU,2018-04-03,100,-37.88,147.99,54.38,3.49
113,ribeira grande,20,PT,2018-04-03,55,38.52,-28.7,62.6,13.87
114,pevek,0,RU,2018-04-03,61,69.7,170.27,22.16,8.63
115,norman wells,75,CA,2018-04-03,77,65.28,-126.83,-2.21,2.24
116,borovoy,88,RU,2018-04-03,89,63.23,52.89,39.08,14.67
117,yenagoa,8,NG,2018-04-03,73,4.92,6.26,82.37,8.97
118,puerto ayora,20,EC,2018-04-03,58,-0.74,-90.35,84.2,5.82
119,labuhan,56,ID,2018-04-03,98,-2.54,115.51,71.66,2.15
120,banda aceh,20,ID,2018-04-03,100,5.56,95.32,75.89,2.48
121,marawi,48,PH,2018-04-03,98,8,124.29,66.71,2.71
122,guerrero negro,12,MX,2018-04-03,73,27.97,-114.04,63.2,9.86
123,butaritari,92,KI,2018-04-03,100,3.07,172.79,81.11,8.3
124,alyangula,0,AU,2018-04-03,100,-13.85,136.42,83.81,4.61
125,hilo,40,US,2018-04-03,83,19.71,-155.08,71.6,3.36
126,tateyama,92,JP,2018-04-03,93,36.66,137.31,43.04,1.81
127,tromso,75,NO,2018-04-03,68,69.65,18.96,30.2,5.82
128,jalu,24,LY,2018-04-03,33,29.03,21.55,70.04,9.86
129,kahului,75,US,2018-04-03,94,20.89,-156.47,73.4,18.34
130,mizan teferi,8,ET,2018-04-03,90,6.99,35.58,63.92,2.15
131,comodoro rivadavia,40,AR,2018-04-03,82,-45.87,-67.48,59,9.17
132,conde,12,BR,2018-04-03,64,-11.81,-37.61,87.5,8.3
133,bethanien,80,NA,2018-04-03,70,-26.5,17.16,68.24,5.73
134,airai,64,TL,2018-04-03,85,-8.93,125.41,69.59,1.59
135,provideniya,24,RU,2018-04-03,100,64.42,-173.23,22.25,9.19
136,hongjiang,32,CN,2018-04-03,80,27.21,109.83,68.78,4.61
137,barrow,0,AR,2018-04-03,49,-38.31,-60.23,78.14,10.31
138,kodiak,90,US,2018-04-03,93,39.95,-94.76,35.6,21.92
139,catamarca,NA,NA,2018-04-03,NA,NA,NA,NA,NA
140,rundu,92,NA,2018-04-03,35,-17.91,19.77,81.65,4.83
141,castro,92,CL,2018-04-03,95,-42.48,-73.76,58.88,12.21
142,manggar,20,ID,2018-04-03,100,-2.88,108.27,74.99,1.92
143,la ronge,20,CA,2018-04-03,46,55.1,-105.3,10.4,10.29
144,hovd,0,NO,2018-04-03,40,63.83,10.7,39.2,11.41
145,kokologo,36,BF,2018-04-03,11,12.19,-1.88,104,5.82
146,victoria,75,BN,2018-04-03,78,5.28,115.24,82.4,4.7
147,chaiyaphum,20,TH,2018-04-03,87,15.81,102.03,74.99,2.82
148,marcona,NA,NA,2018-04-03,NA,NA,NA,NA,NA
149,avarua,75,CK,2018-04-03,94,-21.21,-159.78,75.2,4.7
150,inhambane,20,MZ,2018-04-03,78,-23.87,35.38,80.6,7.96
151,ciudanovita,NA,NA,2018-04-03,NA,NA,NA,NA,NA
152,champerico,20,MX,2018-04-03,35,16.38,-93.6,89.6,4.7
153,ust-omchug,92,RU,2018-04-03,78,61.13,149.63,21.53,7.29
154,north bend,1,US,2018-04-03,75,43.41,-124.22,44.6,6.93
155,lewiston,1,US,2018-04-03,48,46.42,-117.02,44.6,8.05
156,viligili,NA,NA,2018-04-03,NA,NA,NA,NA,NA
157,boma,0,NG,2018-04-03,28,11.23,4.46,95.6,4.16
158,tucuma,NA,NA,2018-04-03,NA,NA,NA,NA,NA
159,mayor pablo lagerenza,12,PY,2018-04-03,65,-19.93,-60.77,88.58,4.94
160,kismayo,NA,NA,2018-04-03,NA,NA,NA,NA,NA
161,vila velha,40,BR,2018-04-03,62,-3.71,-38.6,87.8,13.87
162,souillac,0,FR,2018-04-03,62,45.6,-0.6,59,11.41
163,flin flon,40,CA,2018-04-03,30,54.77,-101.88,10.4,4.7
164,krasnohrad,0,UA,2018-04-03,93,49.38,35.45,34.22,3.38
165,samusu,NA,NA,2018-04-03,NA,NA,NA,NA,NA
166,san patricio,0,PY,2018-04-03,59,-26.98,-56.83,84.17,3.15
167,cockburn town,32,TC,2018-04-03,99,21.46,-71.14,77.24,12.55
168,katherine,75,AU,2018-04-03,78,-14.47,132.26,77,6.85
169,beyneu,0,KZ,2018-04-03,59,45.32,55.19,46.19,14.9
170,skaerbaek,NA,NA,2018-04-03,NA,NA,NA,NA,NA
171,sur,20,OM,2018-04-03,81,22.57,59.53,81.38,6.17
172,luang prabang,36,LA,2018-04-03,99,19.89,102.14,65.54,1.81
173,goya,68,AR,2018-04-03,92,-29.14,-59.27,77.96,6.17
174,palmer,1,US,2018-04-03,35,61.6,-149.11,26.6,25.28
175,bastrop,75,US,2018-04-03,54,32.78,-91.91,80.6,13.87
176,singaraja,12,ID,2018-04-03,100,-8.11,115.08,70.13,1.92
177,saint-augustin,92,FR,2018-04-03,77,44.83,-0.61,62.6,5.82
178,ocampo,68,PH,2018-04-03,98,13.56,123.37,76.52,6.4
179,kondinskoye,92,RU,2018-04-03,86,59.65,67.41,28.19,10.31
180,kruisfontein,20,ZA,2018-04-03,98,-34,24.73,67.52,9.64
181,san jeronimo,75,PE,2018-04-03,54,-13.65,-73.37,59,2.48
182,anadyr,40,RU,2018-04-03,85,64.73,177.51,12.2,6.71
183,raudeberg,75,NO,2018-04-03,69,61.99,5.14,37.4,17.22
184,bubaque,0,GW,2018-04-03,46,11.28,-15.83,89.6,11.41
185,bonham,90,US,2018-04-03,65,33.58,-96.18,78.8,20.8
186,vaitupu,NA,NA,2018-04-03,NA,NA,NA,NA,NA
187,charsadda,75,PK,2018-04-03,49,34.14,71.73,73.4,9.17
188,geraldton,20,CA,2018-04-03,28,49.72,-86.95,14,3.36
189,salalah,20,OM,2018-04-03,78,17.01,54.1,80.6,6.93
190,isangel,44,VU,2018-04-03,100,-19.55,169.27,79.22,15.68
191,grand centre,NA,NA,2018-04-03,NA,NA,NA,NA,NA
192,ginir,92,ET,2018-04-03,91,7.14,40.71,60.59,3.6
193,taolanaro,NA,NA,2018-04-03,NA,NA,NA,NA,NA
194,umm bab,0,QA,2018-04-03,36,25.21,50.81,72.2,4.16
195,khani,75,GE,2018-04-03,71,41.96,42.96,51.8,14.99
196,leander,90,US,2018-04-03,83,30.56,-97.84,77,8.05
197,cazanesti,8,RO,2018-04-03,65,44.62,27.02,50.24,2.93
198,kamenka,88,RU,2018-04-03,95,53.19,44.05,33.05,3.83
199,hermanus,8,ZA,2018-04-03,69,-34.42,19.24,67.34,5.28
200,sistranda,0,NO,2018-04-03,44,63.73,8.83,39.2,10.29
201,longyearbyen,75,NO,2018-04-03,46,78.22,15.63,10.4,13.87
202,bonito,36,BR,2018-04-03,92,-21.13,-56.49,80.75,3.04
203,sentyabrskiy,NA,NA,2018-04-03,NA,NA,NA,NA,NA
204,arman,75,RU,2018-04-03,85,59.7,150.17,32,8.95
205,pacific grove,1,US,2018-04-03,76,36.62,-121.92,55.4,5.82
206,katsuura,0,JP,2018-04-03,82,33.93,134.5,51.41,2.15
207,lazo,56,MD,2018-04-03,67,47.89,27.93,48.53,7.63
208,poysdorf,0,AT,2018-04-03,51,48.67,16.63,66.2,12.75
209,kesennuma,NA,NA,2018-04-03,NA,NA,NA,NA,NA
210,emporia,90,US,2018-04-03,80,38.4,-96.18,35.6,26.4
211,chumikan,76,RU,2018-04-03,56,54.72,135.31,23.42,14
212,cabo san lucas,5,MX,2018-04-03,50,22.89,-109.91,80.6,11.41
213,port blair,12,IN,2018-04-03,100,11.67,92.75,83.81,2.48
214,lebu,75,ET,2018-04-03,45,8.96,38.73,68,13.87
215,ariquemes,88,BR,2018-04-03,75,-9.91,-63.03,83.45,2.93
216,ust-kamchatsk,NA,NA,2018-04-03,NA,NA,NA,NA,NA
217,constitucion,5,MX,2018-04-03,9,23.99,-104.67,69.8,10.29
218,sonoita,1,US,2018-04-03,10,31.68,-110.66,73.4,13.87
219,ca mau,20,VN,2018-04-03,93,9.18,105.15,77.69,9.53
220,bezdan,0,RS,2018-04-03,37,45.85,18.93,66.2,1.12
221,paamiut,44,GL,2018-04-03,94,61.99,-49.67,33.32,6.06
222,tsihombe,NA,NA,2018-04-03,NA,NA,NA,NA,NA
223,urdoma,92,RU,2018-04-03,97,61.74,48.55,39.17,12.88
224,hauknes,0,NO,2018-04-03,54,66.28,14.07,33.8,5.82
225,lowestoft,40,GB,2018-04-03,62,52.48,1.75,57.2,17.22
226,bay roberts,40,CA,2018-04-03,43,47.58,-53.28,33.8,14.99
227,sao joao da barra,20,BR,2018-04-03,49,-21.64,-41.05,91.4,17.02
228,koppang,88,NO,2018-04-03,79,61.57,11.04,22.16,5.61
229,matay,0,EG,2018-04-03,35,28.42,30.79,70.85,12.21
230,makakilo city,1,US,2018-04-03,88,21.35,-158.09,75.2,4.7
231,maragogi,0,BR,2018-04-03,91,-9.01,-35.22,82.01,9.19
232,itarema,36,BR,2018-04-03,97,-2.92,-39.92,81.38,9.31
233,tiksi,64,RU,2018-04-03,79,71.64,128.87,6.59,10.2
234,chicama,75,PE,2018-04-03,78,-7.84,-79.15,71.6,9.17
235,berlevag,88,NO,2018-04-03,100,70.86,29.09,32,34.45
236,linhares,8,BR,2018-04-03,50,-19.38,-40.06,91.55,7.96
237,attawapiskat,NA,NA,2018-04-03,NA,NA,NA,NA,NA
238,grindavik,75,IS,2018-04-03,50,63.84,-22.43,30.2,12.75
239,goulburn,0,AU,2018-04-03,94,-34.75,149.72,53.12,1.7
240,vestmannaeyjar,75,IS,2018-04-03,92,63.44,-20.27,30.2,4.7
241,vanimo,80,PG,2018-04-03,97,-2.67,141.3,84.17,19.15
242,tam ky,20,VN,2018-04-03,83,15.57,108.48,73.4,2.24
243,catumbela,20,AO,2018-04-03,74,-12.43,13.55,84.2,9.17
244,tilichiki,0,RU,2018-04-03,77,60.47,166.1,31.25,10.31
245,fairbanks,1,US,2018-04-03,77,64.84,-147.72,-0.41,11.99
246,bourail,76,NC,2018-04-03,89,-21.57,165.5,71.57,4.16
247,umzimvubu,NA,NA,2018-04-03,NA,NA,NA,NA,NA
248,yellowknife,75,CA,2018-04-03,54,62.45,-114.38,-0.41,8.05
249,ostrovnoy,92,RU,2018-04-03,95,68.05,39.51,33.14,9.53
250,hualmay,8,PE,2018-04-03,73,-11.1,-77.61,75.62,5.28
251,port-cartier,90,CA,2018-04-03,68,50.03,-66.88,28.4,12.75
252,casablanca,40,MA,2018-04-03,77,33.6,-7.62,64.4,13.87
253,kemi,75,FI,2018-04-03,75,65.74,24.56,32,10.29
254,astoria,1,US,2018-04-03,86,46.19,-123.83,41,4.7
255,mitsamiouli,75,KM,2018-04-03,78,-11.38,43.28,82.4,2.24
256,bambous virieux,90,MU,2018-04-03,78,-20.34,57.76,82.4,10.29
257,dasoguz,0,TM,2018-04-03,41,41.84,59.97,60.8,9.17
258,macapa,75,BR,2018-04-03,62,0.05,-51.07,89.6,2.24
259,carndonagh,90,IE,2018-04-03,93,55.25,-7.27,41,13.87
260,sitka,24,US,2018-04-03,41,37.17,-99.65,49.16,31.9
261,oranjestad,20,AW,2018-04-03,70,12.52,-70.03,86,14.99
262,thinadhoo,44,MV,2018-04-03,100,0.53,72.93,84.8,1.59
263,vila franca do campo,20,PT,2018-04-03,67,37.72,-25.43,60.8,20.8
264,faanui,64,PF,2018-04-03,100,-16.48,-151.75,81.74,10.2
265,bethel,1,US,2018-04-03,78,60.79,-161.76,15.8,8.05
266,georgetown,75,GY,2018-04-03,70,6.8,-58.16,86,16.11
267,bonavista,8,CA,2018-04-03,98,48.65,-53.11,26.39,22.5
268,uddevalla,75,SE,2018-04-03,69,58.35,11.94,39.2,16.11
269,severo-kurilsk,92,RU,2018-04-03,96,50.68,156.12,32.24,21.61
270,kirksville,100,US,2018-04-03,100,40.19,-92.58,37.4,10.29
271,mao,40,DO,2018-04-03,54,19.55,-71.08,84.2,6.93
272,kupang,36,ID,2018-04-03,100,-10.16,123.6,79.85,5.5
273,inyonga,80,TZ,2018-04-03,81,-6.72,32.06,69.23,2.71
274,abu samrah,0,SY,2018-04-03,46,35.3,37.18,59.51,5.95
275,port augusta,0,AU,2018-04-03,93,-32.49,137.76,57.2,5.82
276,casa grande,1,US,2018-04-03,17,32.88,-111.76,75.2,3.36
277,coquimbo,0,CL,2018-04-03,63,-29.95,-71.34,66.2,12.75
278,codrington,100,AU,2018-04-03,84,-28.95,153.24,65.99,4.16
279,port hardy,90,CA,2018-04-03,93,50.7,-127.42,39.2,3.36
280,bilma,0,NE,2018-04-03,17,18.69,12.92,81.65,7.18
281,portland,90,US,2018-04-03,80,45.52,-122.67,42.8,3.36
282,naze,40,NG,2018-04-03,78,5.43,7.07,82.4,5.82
283,pangnirtung,75,CA,2018-04-03,63,66.15,-65.72,30.2,8.05
284,merauke,100,ID,2018-04-03,100,-8.49,140.4,75.98,9.64
285,bad waldsee,0,DE,2018-04-03,34,47.92,9.75,66.2,4.7
286,garbolovo,40,RU,2018-04-03,59,60.34,30.5,35.6,11.18
287,general roca,0,AR,2018-04-03,40,-39.03,-67.58,71.6,8.05
288,kaitangata,32,NZ,2018-04-03,60,-46.28,169.85,60.32,31.9
289,kawalu,56,ID,2018-04-03,98,-7.38,108.21,67.25,1.25
290,narsaq,40,GL,2018-04-03,30,60.91,-46.05,42.8,6.93
291,san quintin,20,PH,2018-04-03,90,17.54,120.52,67.16,3.04
292,alofi,92,NU,2018-04-03,96,-19.06,-169.92,82.91,15.79
293,bandarbeyla,88,SO,2018-04-03,100,9.49,50.81,81.02,10.2
294,komsomolskiy,92,RU,2018-04-03,72,67.55,63.78,14.42,15.79
295,mount isa,0,AU,2018-04-03,57,-20.73,139.49,77,5.82
296,atambua,32,ID,2018-04-03,100,-9.11,124.89,76.34,3.71
297,qui nhon,NA,NA,2018-04-03,NA,NA,NA,NA,NA
298,nanortalik,8,GL,2018-04-03,100,60.14,-45.24,33.77,18.03
299,srednekolymsk,0,RU,2018-04-03,93,67.46,153.71,27.65,5.61
300,faya,20,SA,2018-04-03,42,18.39,42.45,66.2,2.26
301,krasnoselkup,NA,NA,2018-04-03,NA,NA,NA,NA,NA
302,dikson,0,RU,2018-04-03,65,73.51,80.55,-8.18,11.21
303,shangzhi,12,CN,2018-04-03,41,45.21,127.96,27.47,5.95
304,santa rosalia,0,IT,2018-04-03,72,38.07,13.27,62.6,8.05
305,toliary,NA,NA,2018-04-03,NA,NA,NA,NA,NA
306,bolungarvik,NA,NA,2018-04-03,NA,NA,NA,NA,NA
307,bondo,76,CD,2018-04-03,91,3.81,23.69,74.54,3.6
308,nantucket,40,US,2018-04-03,65,41.28,-70.1,44.6,17.22
309,hamilton,90,CA,2018-04-03,94,43.26,-79.87,41,19.46
310,orange cove,1,US,2018-04-03,68,36.62,-119.31,66.2,4.27
311,barentsburg,NA,NA,2018-04-03,NA,NA,NA,NA,NA
312,vrangel,92,RU,2018-04-03,87,42.73,133.08,37.28,7.63
313,cayenne,75,GF,2018-04-03,62,4.94,-52.33,86,12.75
314,bontang,64,ID,2018-04-03,100,0.12,117.47,77.87,3.6
315,kampot,64,KH,2018-04-03,87,10.62,104.18,76.88,6.17
316,feicheng,88,CN,2018-04-03,85,36.18,116.77,41.15,15.01
317,ilulissat,20,GL,2018-04-03,78,69.22,-51.1,15.8,1.12
318,cururupu,44,BR,2018-04-03,100,-1.82,-44.87,80.57,4.16
319,samarai,56,PG,2018-04-03,100,-10.62,150.67,81.74,8.63
320,sala consilina,68,IT,2018-04-03,75,40.4,15.6,49.97,1.7
321,felidhoo,NA,NA,2018-04-03,NA,NA,NA,NA,NA
322,ulaangom,56,MN,2018-04-03,79,49.98,92.07,10.82,6.4
323,chokurdakh,76,RU,2018-04-03,76,70.62,147.9,16.94,11.88
324,gedo,56,ET,2018-04-03,91,9.01,37.45,59.15,1.25
325,coahuayana,8,MX,2018-04-03,31,18.62,-100.35,84.35,2.93
326,egvekinot,0,RU,2018-04-03,68,66.32,-179.17,11.72,2.82
327,laguna,5,MX,2018-04-03,27,27.52,-110.01,78.8,10.29
328,swellendam,20,ZA,2018-04-03,77,-34.02,20.44,69.8,9.17
329,lazaro cardenas,75,MX,2018-04-03,24,28.39,-105.62,71.6,5.61
330,lucapa,100,AO,2018-04-03,98,-8.42,20.74,68.33,3.27
331,kerteh,NA,NA,2018-04-03,NA,NA,NA,NA,NA
332,springville,1,US,2018-04-03,37,40.17,-111.61,35.6,6.93
333,talnakh,64,RU,2018-04-03,70,69.49,88.39,-10.25,7.74
334,san jose de rio tinto,20,HN,2018-04-03,45,14.93,-85.7,86,2.24
335,marsaxlokk,20,MT,2018-04-03,82,35.84,14.54,59,14.99
336,ahuimanu,40,US,2018-04-03,73,21.44,-157.84,75.2,3.36
337,lasa,0,CY,2018-04-03,77,34.92,32.53,64.4,4.7
338,kayerkan,68,RU,2018-04-03,70,69.35,87.76,-10.07,9.98
339,amga,24,RU,2018-04-03,53,60.89,131.98,7.22,8.3
340,kuruman,88,ZA,2018-04-03,87,-27.46,23.43,62.12,5.39
341,pio ix,0,BR,2018-04-03,82,-6.83,-40.61,82.73,2.93
342,blagoyevo,92,RU,2018-04-03,98,63.37,47.92,38.72,10.65
343,itoman,20,JP,2018-04-03,73,26.12,127.67,71.6,10.29
344,yelizovo,90,RU,2018-04-03,86,53.19,158.38,28.4,6.71
345,santiago,0,CL,2018-04-03,38,-33.44,-70.65,77,4.7
346,richards bay,92,ZA,2018-04-03,92,-28.77,32.06,73.91,4.16
347,otane,0,NZ,2018-04-03,83,-39.89,176.62,52.4,5.73
348,dickinson,75,US,2018-04-03,67,46.88,-102.79,17.6,12.75
349,shintomi,0,JP,2018-04-03,100,32.08,131.47,56.45,5.95
350,grand gaube,90,MU,2018-04-03,78,-20.01,57.66,82.4,10.29
351,shingu,0,JP,2018-04-03,92,33.72,135.99,62.84,10.76
352,san policarpo,68,PH,2018-04-03,100,12.18,125.51,77.15,8.41
353,hithadhoo,56,MV,2018-04-03,100,-0.6,73.08,84.71,5.39
354,duz,NA,NA,2018-04-03,NA,NA,NA,NA,NA
355,paita,0,PE,2018-04-03,58,-5.09,-81.11,84.2,8.05
356,teguise,20,ES,2018-04-03,56,29.06,-13.56,69.8,14.99
357,selma,1,US,2018-04-03,48,36.57,-119.61,66.2,10.29
358,manacor,75,ES,2018-04-03,87,39.57,3.21,60.8,9.17
359,aklavik,90,CA,2018-04-03,77,68.22,-135.01,1.4,8.05
360,niimi,20,JP,2018-04-03,76,34.97,133.47,55.4,8.05
361,saint-paul,92,FR,2018-04-03,63,45.22,1.9,60.8,10.29
362,rio grande,40,BR,2018-04-03,58,-32.03,-52.1,82.4,5.82
363,fortuna,20,ES,2018-04-03,38,38.18,-1.13,73.4,11.41
364,collie,0,AU,2018-04-03,83,-33.36,116.15,64.46,10.98
365,rocha,80,UY,2018-04-03,82,-34.48,-54.34,70.94,6.73
366,sao jose da coroa grande,0,BR,2018-04-03,91,-8.9,-35.15,82.01,9.19
367,kulhudhuffushi,68,MV,2018-04-03,100,6.62,73.07,83.72,4.72
368,kirya,NA,NA,2018-04-03,NA,NA,NA,NA,NA
